Header,Date,Title,Link,type,session,file_name,text_file_name
NA,NA,Africa Group,https://resolutions.unep.org/resolutions/uploads/all_statements_made_by_african_group_during_inc1.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/all_statements_made_by_african_group_during_inc1.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/all_statements_made_by_african_group_during_inc1.txt
NA,NA,Alliance of Small Island States (AOSIS),https://resolutions.unep.org/resolutions/uploads/all_statements_made_by_aosis_during_inc1.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/all_statements_made_by_aosis_during_inc1.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/all_statements_made_by_aosis_during_inc1.txt
NA,NA,Asia-Pacific States,https://resolutions.unep.org/resolutions/uploads/regional_statement_for_inc1_by_asia_pacific_group_0.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/regional_statement_for_inc1_by_asia_pacific_group_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/regional_statement_for_inc1_by_asia_pacific_group_0.txt
NA,NA,European Union,https://resolutions.unep.org/resolutions/uploads/all_statements_made_by_eu_during_inc1.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/all_statements_made_by_eu_during_inc1.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/all_statements_made_by_eu_during_inc1.txt
NA,NA,Georgia on behalf of the High Ambition Coalition,https://resolutions.unep.org/resolutions/uploads/high_ambition_coalition_to_end_plastic_pollution_joint_statement_0_0.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/high_ambition_coalition_to_end_plastic_pollution_joint_statement_0_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/high_ambition_coalition_to_end_plastic_pollution_joint_statement_0_0.txt
NA,NA,Latin America and Caribbean Group,https://resolutions.unep.org/resolutions/uploads/grulac_inc1_statements_0.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/grulac_inc1_statements_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/grulac_inc1_statements_0.txt
NA,NA,Pacific Small Island Developing States,https://resolutions.unep.org/resolutions/uploads/all_statements_made_by_psids_during_inc1_0.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/all_statements_made_by_psids_during_inc1_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/all_statements_made_by_psids_during_inc1_0.txt
NA,NA,"United States, on behalf of the United States, Australia, Canada, Iceland, Japan, Monaco, New Zealand, Norway, the Republic of Korea, Switzerland, and the United Kingdom",https://resolutions.unep.org/resolutions/uploads/usstatement.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/usstatement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/usstatement.txt
NA,NA,Western European and Other States,https://resolutions.unep.org/resolutions/uploads/weog_closing_statement_0.pdf,Group States,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/weog_closing_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/weog_closing_statement_0.txt
NA,NA,Algeria,https://resolutions.unep.org/resolutions/uploads/algeria_scope_objectives_and_broad_options_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/algeria_scope_objectives_and_broad_options_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/algeria_scope_objectives_and_broad_options_0.txt
NA,NA,Angola,https://resolutions.unep.org/resolutions/uploads/angola_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/angola_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/angola_statement.txt
NA,NA,Burkina Faso,https://resolutions.unep.org/resolutions/uploads/burkina_faso_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/burkina_faso_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/burkina_faso_0.txt
NA,NA,Cameroon,https://resolutions.unep.org/resolutions/uploads/cameroonsequencingfurtherwork.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/cameroonsequencingfurtherwork.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/cameroonsequencingfurtherwork.txt
NA,NA,Côte d'Ivoire,https://resolutions.unep.org/resolutions/uploads/cote_divoire_icn-1_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/cote_divoire_icn-1_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/cote_divoire_icn-1_0.txt
NA,NA,Democratic Republic of the Congo,https://resolutions.unep.org/resolutions/uploads/drc_statement_inc1_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/drc_statement_inc1_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/drc_statement_inc1_0.txt
NA,NA,Egypt,https://resolutions.unep.org//resolutions/uploads/egypt_opening_statement_inc1__0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/egypt_opening_statement_inc1__0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/egypt_opening_statement_inc1__0.txt
NA,NA,Eritrea,https://resolutions.unep.org//resolutions/uploads/eritrea_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/eritrea_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/eritrea_all_statements.txt
NA,NA,Ethiopia,https://resolutions.unep.org//resolutions/uploads/ethiopia_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/ethiopia_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/ethiopia_statements.txt
NA,NA,Ghana,https://resolutions.unep.org/resolutions/uploads/the_ghanaian_delegation_statement_dec_1_2022_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/the_ghanaian_delegation_statement_dec_1_2022_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/the_ghanaian_delegation_statement_dec_1_2022_0.txt
NA,NA,Kenya,https://resolutions.unep.org/resolutions/uploads/kenya_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/kenya_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/kenya_all_statements.txt
NA,NA,Libya,https://resolutions.unep.org/resolutions/uploads/libya_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/libya_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/libya_0.txt
NA,NA,Malawi,https://resolutions.unep.org/resolutions/uploads/malawigeneralstatement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/malawigeneralstatement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/malawigeneralstatement.txt
NA,NA,Mali,https://resolutions.unep.org/resolutions/uploads/mali_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/mali_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/mali_all_statements.txt
NA,NA,Morocco,https://resolutions.unep.org/resolutions/uploads/morocco_declaration_du_maroc_inc_1_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/morocco_declaration_du_maroc_inc_1_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/morocco_declaration_du_maroc_inc_1_0.txt
NA,NA,Nigeria,https://resolutions.unep.org/resolutions/uploads/nigeria_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/nigeria_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/nigeria_all_statements.txt
NA,NA,Republic of Congo,https://resolutions.unep.org/resolutions/uploads/republic_of_congo_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/republic_of_congo_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/republic_of_congo_all_statements.txt
NA,NA,Rwanda,https://resolutions.unep.org/resolutions/uploads/rwandas_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/rwandas_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/rwandas_statement.txt
NA,NA,Seychelles,https://resolutions.unep.org/resolutions/uploads/seychelles_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/seychelles_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/seychelles_0.txt
NA,NA,South Africa,https://resolutions.unep.org/resolutions/uploads/southafricaopeningstatement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/southafricaopeningstatement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/southafricaopeningstatement.txt
NA,NA,Tunisia,https://resolutions.unep.org/resolutions/uploads/tunisia_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/tunisia_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/tunisia_statements.txt
NA,NA,Uganda,https://resolutions.unep.org/resolutions/uploads/uganda_statement_1.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/uganda_statement_1.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/uganda_statement_1.txt
NA,NA,United Republic of Tanzania,https://resolutions.unep.org/resolutions/uploads/tanzaniaopeningstatement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/tanzaniaopeningstatement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/tanzaniaopeningstatement.txt
NA,NA,Zambia,https://resolutions.unep.org/resolutions/uploads/zambian_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/zambian_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/zambian_statement_0.txt
NA,NA,Bahrain,https://resolutions.unep.org/resolutions/uploads/opening_statement_bahrain_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/opening_statement_bahrain_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/opening_statement_bahrain_0.txt
NA,NA,China,https://resolutions.unep.org/resolutions/uploads/china_inc-1_statements_0_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/china_inc-1_statements_0_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/china_inc-1_statements_0_0.txt
NA,NA,Cook's Island,https://resolutions.unep.org/resolutions/uploads/cook_islands_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/cook_islands_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/cook_islands_general_statement_0.txt
NA,NA,India,https://wedocs.unep.org/bitstream/handle/20.500.11822/42569/28052023_India.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/28052023_India.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/28052023_India.txt
NA,NA,Indonesia,https://resolutions.unep.org//resolutions/uploads/indonesia_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/indonesia_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/indonesia_all_statements.txt
NA,NA,Japan,https://resolutions.unep.org/resolutions/uploads/japan_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/japan_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/japan_all_statements.txt
NA,NA,Jordan,https://resolutions.unep.org/resolutions/uploads/jordan_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/jordan_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/jordan_all_statements.txt
NA,NA,Kiribati,https://resolutions.unep.org/resolutions/uploads/kiribati_statement_inc-1.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/kiribati_statement_inc-1.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/kiribati_statement_inc-1.txt
NA,NA,Malaysia,https://resolutions.unep.org/resolutions/uploads/malaysia_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/malaysia_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/malaysia_all_statements.txt
NA,NA,Marshall Islands,https://resolutions.unep.org/resolutions/uploads/marshal_islandsi-inc_1_national_statement.11282022_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/marshal_islandsi-inc_1_national_statement.11282022_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/marshal_islandsi-inc_1_national_statement.11282022_0.txt
NA,NA,Micronesia,https://resolutions.unep.org/resolutions/uploads/federated_states_of_micronesia_monitoring_and_evaluation_of_progress_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/federated_states_of_micronesia_monitoring_and_evaluation_of_progress_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/federated_states_of_micronesia_monitoring_and_evaluation_of_progress_0.txt
NA,NA,Mongolia,https://resolutions.unep.org/resolutions/uploads/mongolias_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/mongolias_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/mongolias_statement_0.txt
NA,NA,Nepal,https://wedocs.unep.org/bitstream/handle/20.500.11822/41696/NepalstatementINC1.pdf?sequence=1&isAllowed=y,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/NepalstatementINC1.pdf?sequence=1&isAllowed=y,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/NepalstatementINC1.txt?sequence=1&isAllowed=y
NA,NA,Pakistan,https://resolutions.unep.org/resolutions/uploads/pakistan_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/pakistan_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/pakistan_all_statements.txt
NA,NA,Palau,https://resolutions.unep.org/resolutions/uploads/palau_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/palau_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/palau_0.txt
NA,NA,Papua New Guinea,https://resolutions.unep.org/resolutions/uploads/papua_new_guinea_plastics_effectiveness_evaluation_and_national_reporting.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/papua_new_guinea_plastics_effectiveness_evaluation_and_national_reporting.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/papua_new_guinea_plastics_effectiveness_evaluation_and_national_reporting.txt
NA,NA,Philippines,https://resolutions.unep.org/resolutions/uploads/phillipines_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/phillipines_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/phillipines_all_statements.txt
NA,NA,Qatar,https://resolutions.unep.org/resolutions/uploads/qatar_all_statements_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/qatar_all_statements_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/qatar_all_statements_0.txt
NA,NA,Republic of Korea,https://resolutions.unep.org/resolutions/uploads/rok_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/rok_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/rok_0.txt
NA,NA,Saudi Arabia,https://resolutions.unep.org/resolutions/uploads/saudiarabiaallstatements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/saudiarabiaallstatements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/saudiarabiaallstatements.txt
NA,NA,Singapore,https://resolutions.unep.org/resolutions/uploads/singapore_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/singapore_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/singapore_0.txt
NA,NA,Sri Lanka,https://resolutions.unep.org/resolutions/uploads/sri_lanka_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/sri_lanka_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/sri_lanka_statements.txt
NA,NA,Syrian Arab Republic,https://resolutions.unep.org/resolutions/uploads/syrian_arabic_republic_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/syrian_arabic_republic_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/syrian_arabic_republic_general_statement_0.txt
NA,NA,Thailand,https://resolutions.unep.org/resolutions/uploads/thailand_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/thailand_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/thailand_statements.txt
NA,NA,United Arab Emirates,https://resolutions.unep.org/resolutions/uploads/uae.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/uae.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/uae.txt
NA,NA,Viet Nam,https://resolutions.unep.org/resolutions/uploads/viet_nam_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/viet_nam_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/viet_nam_0.txt
NA,NA,Armenia,https://resolutions.unep.org/resolutions/uploads/armenia_111docx_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/armenia_111docx_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/armenia_111docx_0.txt
NA,NA,Georgia,https://resolutions.unep.org//resolutions/uploads/georgia_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/georgia_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/georgia_statement.txt
NA,NA,Montenegro,https://resolutions.unep.org/resolutions/uploads/montenegro_mne_statement_inc1_final_final_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/montenegro_mne_statement_inc1_final_final_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/montenegro_mne_statement_inc1_final_final_0.txt
NA,NA,Russian Federation,https://resolutions.unep.org/resolutions/uploads/russia_federation_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/russia_federation_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/russia_federation_all_statements.txt
NA,NA,Ukraine,https://resolutions.unep.org/resolutions/uploads/ukraine_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/ukraine_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/ukraine_all_statements.txt
NA,NA,Argentina,https://resolutions.unep.org/resolutions/uploads/intervencion_argentina_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/intervencion_argentina_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/intervencion_argentina_general_statement_0.txt
NA,NA,Brazil,https://resolutions.unep.org/resolutions/uploads/brazil_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/brazil_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/brazil_all_statements.txt
NA,NA,Chile,https://resolutions.unep.org/resolutions/uploads/chile_-_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/chile_-_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/chile_-_all_statements.txt
